st,dt,nrows,update
AN,Nicobar,104,2020-12-23 18:01:22
AN,North & Middle Andaman,104,2020-12-23 18:01:22
AN,South Andaman,104,2020-12-23 18:01:22
AP,Anantapur,104,2020-12-23 18:01:22
AP,Chittoor,104,2020-12-23 18:01:22
AP,East Godavari,104,2020-12-23 18:01:22
AP,Guntur,104,2020-12-23 18:01:22
AP,Krishna,104,2020-12-23 18:01:22
AP,Kurnool,104,2020-12-23 18:01:22
AP,Prakasam,104,2020-12-23 18:01:22
AP,Sri Potti Sriramulu Nellore,104,2020-12-23 18:01:22
AP,Srikakulam,104,2020-12-23 18:01:22
AP,Visakhapatnam,104,2020-12-23 18:01:22
AP,Vizianagaram,104,2020-12-23 18:01:22
AP,West Godavari,104,2020-12-23 18:01:22
AP,Y.S.R.,104,2020-12-23 18:01:22
AS,Baksa,104,2020-12-23 18:01:22
AS,Barpeta,104,2020-12-23 18:01:22
AS,Biswanath,104,2020-12-23 18:01:22
AS,Bongaigaon,104,2020-12-23 18:01:22
AS,Cachar,104,2020-12-23 18:01:22
AS,Charaideo,104,2020-12-23 18:01:22
AS,Chirang,104,2020-12-23 18:01:22
AS,Darrang,104,2020-12-23 18:01:22
AS,Dhemaji,104,2020-12-23 18:01:22
AS,Dhubri,104,2020-12-23 18:01:22
AS,Dibrugarh,104,2020-12-23 18:01:22
AS,Dima Hasao,104,2020-12-23 18:01:22
AS,Goalpara,104,2020-12-23 18:01:22
AS,Golaghat,104,2020-12-23 18:01:22
AS,Hailakandi,104,2020-12-23 18:01:22
AS,Hojai,104,2020-12-23 18:01:22
AS,Jorhat,104,2020-12-23 18:01:22
AS,Kamrup,104,2020-12-23 18:01:22
AS,Kamrup Metropolitan,104,2020-12-23 18:01:22
AS,Karbi Anglong,104,2020-12-23 18:01:22
AS,Karimganj,104,2020-12-23 18:01:22
AS,Kokrajhar,104,2020-12-23 18:01:22
AS,Lakhimpur,104,2020-12-23 18:01:22
AS,Majuli,104,2020-12-23 18:01:22
AS,Morigaon,104,2020-12-23 18:01:22
AS,Nagaon,104,2020-12-23 18:01:22
AS,Nalbari,104,2020-12-23 18:01:22
AS,Sivasagar,104,2020-12-23 18:01:22
AS,Sonitpur,104,2020-12-23 18:01:22
AS,South Salmara Mancachar,104,2020-12-23 18:01:22
AS,Tinsukia,104,2020-12-23 18:01:22
AS,Udalguri,104,2020-12-23 18:01:22
AS,West Karbi Anglong,104,2020-12-23 18:01:22
BR,Araria,104,2020-12-23 18:01:22
BR,Arwal,104,2020-12-23 18:01:22
BR,Aurangabad,104,2020-12-23 18:01:22
BR,Banka,104,2020-12-23 18:01:22
BR,Begusarai,104,2020-12-23 18:01:22
BR,Bhagalpur,104,2020-12-23 18:01:22
BR,Bhojpur,104,2020-12-23 18:01:22
BR,Buxar,104,2020-12-23 18:01:22
BR,Darbhanga,104,2020-12-23 18:01:22
BR,Gaya,104,2020-12-23 18:01:22
BR,Gopalganj,104,2020-12-23 18:01:22
BR,Jamui,104,2020-12-23 18:01:22
BR,Jehanabad,104,2020-12-23 18:01:22
BR,Kaimur (Bhabua),104,2020-12-23 18:01:22
BR,Katihar,104,2020-12-23 18:01:22
BR,Khagaria,104,2020-12-23 18:01:22
BR,Kishanganj,104,2020-12-23 18:01:22
BR,Lakhisarai,104,2020-12-23 18:01:22
BR,Madhepura,104,2020-12-23 18:01:22
BR,Madhubani,104,2020-12-23 18:01:22
BR,Munger,104,2020-12-23 18:01:22
BR,Muzaffarpur,104,2020-12-23 18:01:22
BR,Nalanda,104,2020-12-23 18:01:22
BR,Nawada,104,2020-12-23 18:01:22
BR,Pashchim Champaran,104,2020-12-23 18:01:22
BR,Patna,104,2020-12-23 18:01:22
BR,Purba Champaran,104,2020-12-23 18:01:22
BR,Purnia,104,2020-12-23 18:01:22
BR,Rohtas,104,2020-12-23 18:01:22
BR,Saharsa,104,2020-12-23 18:01:22
BR,Samastipur,104,2020-12-23 18:01:22
BR,Saran,104,2020-12-23 18:01:22
BR,Sheikhpura,104,2020-12-23 18:01:22
BR,Sheohar,104,2020-12-23 18:01:22
BR,Sitamarhi,104,2020-12-23 18:01:22
BR,Siwan,104,2020-12-23 18:01:22
BR,Supaul,104,2020-12-23 18:01:22
BR,Vaishali,104,2020-12-23 18:01:22
DD,Dadra & Nagar Haveli,104,2020-12-23 18:01:22
DD,Daman,104,2020-12-23 18:01:22
DD,Diu,104,2020-12-23 18:01:22
GA,North Goa,104,2020-12-23 18:01:22
GA,South Goa,104,2020-12-23 18:01:22
GJ,Ahmedabad,104,2020-12-23 18:01:22
GJ,Amreli,104,2020-12-23 18:01:22
GJ,Anand,104,2020-12-23 18:01:22
GJ,Aravali,104,2020-12-23 18:01:22
GJ,Banaskantha,104,2020-12-23 18:01:22
GJ,Bharuch,104,2020-12-23 18:01:22
GJ,Bhavnagar,104,2020-12-23 18:01:22
GJ,Botad,104,2020-12-23 18:01:22
GJ,Chhota Udaipur,104,2020-12-23 18:01:22
GJ,Dahod,104,2020-12-23 18:01:22
GJ,Devbhumi Dwarka,104,2020-12-23 18:01:22
GJ,Gandhinagar,104,2020-12-23 18:01:22
GJ,Gir Somnath,104,2020-12-23 18:01:22
GJ,Jamnagar,104,2020-12-23 18:01:22
GJ,Junagadh,104,2020-12-23 18:01:22
GJ,Kachchh,104,2020-12-23 18:01:22
GJ,Kheda,104,2020-12-23 18:01:22
GJ,Mahesana,104,2020-12-23 18:01:22
GJ,Mahisagar,104,2020-12-23 18:01:22
GJ,Morbi,104,2020-12-23 18:01:22
GJ,Narmada,104,2020-12-23 18:01:22
GJ,Navsari,104,2020-12-23 18:01:22
GJ,Panchmahal,104,2020-12-23 18:01:22
GJ,Patan,104,2020-12-23 18:01:22
GJ,Porbandar,104,2020-12-23 18:01:22
GJ,Rajkot,104,2020-12-23 18:01:22
GJ,Sabarkantha,104,2020-12-23 18:01:22
GJ,Surat,104,2020-12-23 18:01:22
GJ,Surendranagar,104,2020-12-23 18:01:22
GJ,Tapi,104,2020-12-23 18:01:22
GJ,The Dangs,104,2020-12-23 18:01:22
GJ,Vadodara,104,2020-12-23 18:01:22
GJ,Valsad,104,2020-12-23 18:01:22
HP,Bilaspur,104,2020-12-23 18:01:22
HP,Chamba,104,2020-12-23 18:01:22
HP,Hamirpur,104,2020-12-23 18:01:22
HP,Kangra,104,2020-12-23 18:01:22
HP,Kinnaur,104,2020-12-23 18:01:22
HP,Kullu,104,2020-12-23 18:01:22
HP,Lahul and Spiti,104,2020-12-23 18:01:22
HP,Mandi,104,2020-12-23 18:01:22
HP,Shimla,104,2020-12-23 18:01:22
HP,Sirmaur,104,2020-12-23 18:01:22
HP,Solan,104,2020-12-23 18:01:22
HP,Una,104,2020-12-23 18:01:22
JK,Anantnag,104,2020-12-23 18:01:22
JK,Badgam,104,2020-12-23 18:01:22
JK,Bandipore,104,2020-12-23 18:01:22
JK,Baramula,104,2020-12-23 18:01:22
JK,Doda,104,2020-12-23 18:01:22
JK,Ganderbal,104,2020-12-23 18:01:22
JK,Jammu,104,2020-12-23 18:01:22
JK,Kathua,104,2020-12-23 18:01:22
JK,Kishtwar,104,2020-12-23 18:01:22
JK,Kulgam,104,2020-12-23 18:01:22
JK,Kupwara,104,2020-12-23 18:01:22
JK,Pulwama,104,2020-12-23 18:01:22
JK,Punch,104,2020-12-23 18:01:22
JK,Rajouri,104,2020-12-23 18:01:22
JK,Ramban,104,2020-12-23 18:01:22
JK,Reasi,104,2020-12-23 18:01:22
JK,Samba,104,2020-12-23 18:01:22
JK,Shupiyan,104,2020-12-23 18:01:22
JK,Srinagar,104,2020-12-23 18:01:22
JK,Udhampur,104,2020-12-23 18:01:22
KA,Bagalkot,104,2020-12-23 18:01:22
KA,Bangalore,104,2020-12-23 18:01:22
KA,Bangalore Rural,104,2020-12-23 18:01:22
KA,Belgaum,104,2020-12-23 18:01:22
KA,Bellary,104,2020-12-23 18:01:22
KA,Bidar,104,2020-12-23 18:01:22
KA,Bijapur,104,2020-12-23 18:01:22
KA,Chamarajanagar,104,2020-12-23 18:01:22
KA,Chikkaballapura,104,2020-12-23 18:01:22
KA,Chikmagalur,104,2020-12-23 18:01:22
KA,Chitradurga,104,2020-12-23 18:01:22
KA,Dakshina Kannada,104,2020-12-23 18:01:22
KA,Davanagere,104,2020-12-23 18:01:22
KA,Dharwad,104,2020-12-23 18:01:22
KA,Gadag,104,2020-12-23 18:01:22
KA,Gulbarga,104,2020-12-23 18:01:22
KA,Hassan,104,2020-12-23 18:01:22
KA,Haveri,104,2020-12-23 18:01:22
KA,Kodagu,104,2020-12-23 18:01:22
KA,Kolar,104,2020-12-23 18:01:22
KA,Koppal,104,2020-12-23 18:01:22
KA,Mandya,104,2020-12-23 18:01:22
KA,Mysore,104,2020-12-23 18:01:22
KA,Raichur,104,2020-12-23 18:01:22
KA,Ramanagara,104,2020-12-23 18:01:22
KA,Shimoga,104,2020-12-23 18:01:22
KA,Tumkur,104,2020-12-23 18:01:22
KA,Udupi,104,2020-12-23 18:01:22
KA,Uttara Kannada,104,2020-12-23 18:01:22
KA,Yadgir,104,2020-12-23 18:01:22
KL,Alappuzha,104,2020-12-23 18:01:22
KL,Ernakulam,104,2020-12-23 18:01:22
KL,Idukki,104,2020-12-23 18:01:22
KL,Kannur,104,2020-12-23 18:01:22
KL,Kasaragod,104,2020-12-23 18:01:22
KL,Kollam,104,2020-12-23 18:01:22
KL,Kottayam,104,2020-12-23 18:01:22
KL,Kozhikode,104,2020-12-23 18:01:22
KL,Malappuram,104,2020-12-23 18:01:22
KL,Palakkad,104,2020-12-23 18:01:22
KL,Pathanamthitta,104,2020-12-23 18:01:22
KL,Thiruvananthapuram,104,2020-12-23 18:01:22
KL,Thrissur,104,2020-12-23 18:01:22
KL,Wayanad,104,2020-12-23 18:01:22
LH,Kargil,104,2020-12-23 18:01:22
LH,Leh (Ladakh),104,2020-12-23 18:01:22
MH,Ahmednagar,104,2020-12-23 18:01:22
MH,Akola,104,2020-12-23 18:01:22
MH,Amravati,104,2020-12-23 18:01:22
MH,Aurangabad,104,2020-12-23 18:01:22
MH,Bhandara,104,2020-12-23 18:01:22
MH,Bid,104,2020-12-23 18:01:22
MH,Buldana,104,2020-12-23 18:01:22
MH,Chandrapur,104,2020-12-23 18:01:22
MH,Dhule,104,2020-12-23 18:01:22
MH,Gadchiroli,104,2020-12-23 18:01:22
MH,Gondiya,104,2020-12-23 18:01:22
MH,Hingoli,104,2020-12-23 18:01:22
MH,Jalgaon,104,2020-12-23 18:01:22
MH,Jalna,104,2020-12-23 18:01:22
MH,Kolhapur,104,2020-12-23 18:01:22
MH,Latur,104,2020-12-23 18:01:22
MH,Mumbai,104,2020-12-23 18:01:22
MH,Mumbai Suburban,104,2020-12-23 18:01:22
MH,Nagpur,104,2020-12-23 18:01:22
MH,Nanded,104,2020-12-23 18:01:22
MH,Nandurbar,104,2020-12-23 18:01:22
MH,Nashik,104,2020-12-23 18:01:22
MH,Osmanabad,104,2020-12-23 18:01:22
MH,Palghar,104,2020-12-23 18:01:22
MH,Parbhani,104,2020-12-23 18:01:22
MH,Pune,104,2020-12-23 18:01:22
MH,Raigarh,104,2020-12-23 18:01:22
MH,Ratnagiri,104,2020-12-23 18:01:22
MH,Sangli,104,2020-12-23 18:01:22
MH,Satara,104,2020-12-23 18:01:22
MH,Sindhudurg,104,2020-12-23 18:01:22
MH,Solapur,104,2020-12-23 18:01:22
MH,Thane,104,2020-12-23 18:01:22
MH,Wardha,104,2020-12-23 18:01:22
MH,Washim,104,2020-12-23 18:01:22
MH,Yavatmal,104,2020-12-23 18:01:22
ML,East Garo Hills,104,2020-12-23 18:01:22
ML,East Jaintia Hills,104,2020-12-23 18:01:22
ML,East Khasi Hills,104,2020-12-23 18:01:22
ML,North Garo Hills,104,2020-12-23 18:01:22
ML,Ribhoi,104,2020-12-23 18:01:22
ML,South Garo Hills,104,2020-12-23 18:01:22
ML,South West Garo Hills,104,2020-12-23 18:01:22
ML,South West Khasi Hills,104,2020-12-23 18:01:22
ML,West Garo Hills,104,2020-12-23 18:01:22
ML,West Jaintia Hills,104,2020-12-23 18:01:22
ML,West Khasi Hills,104,2020-12-23 18:01:22
MN,Bishnupur,104,2020-12-23 18:01:22
MN,Chandel,104,2020-12-23 18:01:22
MN,Churachandpur,104,2020-12-23 18:01:22
MN,Imphal East,104,2020-12-23 18:01:22
MN,Imphal West,104,2020-12-23 18:01:22
MN,Senapati,104,2020-12-23 18:01:22
MN,Tamenglong,104,2020-12-23 18:01:22
MN,Thoubal,104,2020-12-23 18:01:22
MN,Ukhrul,104,2020-12-23 18:01:22
MZ,Aizawl,104,2020-12-23 18:01:22
MZ,Champhai,104,2020-12-23 18:01:22
MZ,Kolasib,104,2020-12-23 18:01:22
MZ,Lawngtlai,104,2020-12-23 18:01:22
MZ,Lunglei,104,2020-12-23 18:01:22
MZ,Mamit,104,2020-12-23 18:01:22
MZ,Saiha,104,2020-12-23 18:01:22
MZ,Serchhip,104,2020-12-23 18:01:22
NL,Dimapur,104,2020-12-23 18:01:22
NL,Kiphire,104,2020-12-23 18:01:22
NL,Kohima,104,2020-12-23 18:01:22
NL,Longleng,104,2020-12-23 18:01:22
NL,Mokokchung,104,2020-12-23 18:01:22
NL,Mon,104,2020-12-23 18:01:22
NL,Peren,104,2020-12-23 18:01:22
NL,Phek,104,2020-12-23 18:01:22
NL,Tuensang,104,2020-12-23 18:01:22
NL,Wokha,104,2020-12-23 18:01:22
NL,Zunheboto,104,2020-12-23 18:01:22
SK,East District,104,2020-12-23 18:01:22
SK,North District,104,2020-12-23 18:01:22
SK,South District,104,2020-12-23 18:01:22
SK,West District,104,2020-12-23 18:01:22
TG,Adilabad,104,2020-12-23 18:01:22
TG,Bhadradri Kothagudem,104,2020-12-23 18:01:22
TG,Hyderabad,104,2020-12-23 18:01:22
TG,Jagitial,104,2020-12-23 18:01:22
TG,Jangoan,104,2020-12-23 18:01:22
TG,Jayashankar Bhupalapally,104,2020-12-23 18:01:22
TG,Jogulamba Gadwal,104,2020-12-23 18:01:22
TG,Kamareddy,104,2020-12-23 18:01:22
TG,Karimnagar,104,2020-12-23 18:01:22
TG,Khammam,104,2020-12-23 18:01:22
TG,Komaram Bheem Asifabad,104,2020-12-23 18:01:22
TG,Mahabubabad,104,2020-12-23 18:01:22
TG,Mahabubnagar,104,2020-12-23 18:01:22
TG,Mancherial,104,2020-12-23 18:01:22
TG,Medak,104,2020-12-23 18:01:22
TG,Medchal-Malkajgiri,104,2020-12-23 18:01:22
TG,Nagarkurnool,104,2020-12-23 18:01:22
TG,Nalgonda,104,2020-12-23 18:01:22
TG,Nirmal,104,2020-12-23 18:01:22
TG,Nizamabad,104,2020-12-23 18:01:22
TG,Peddapalli,104,2020-12-23 18:01:22
TG,Rajanna Sircilla,104,2020-12-23 18:01:22
TG,Ranga Reddy,104,2020-12-23 18:01:22
TG,Sangareddy,104,2020-12-23 18:01:22
TG,Siddipet,104,2020-12-23 18:01:22
TG,Suryapet,104,2020-12-23 18:01:22
TG,Vikarabad,104,2020-12-23 18:01:22
TG,Wanaparthy,104,2020-12-23 18:01:22
TG,Warangal Rural,104,2020-12-23 18:01:22
TG,Warangal Urban,104,2020-12-23 18:01:22
TG,Yadadri Bhuvanagiri,104,2020-12-23 18:01:22
TR,Dhalai,104,2020-12-23 18:01:22
TR,Gomati,104,2020-12-23 18:01:22
TR,Khowai,104,2020-12-23 18:01:22
TR,North Tripura,104,2020-12-23 18:01:22
TR,Sepahijala,104,2020-12-23 18:01:22
TR,South Tripura,104,2020-12-23 18:01:22
TR,Unakoti,104,2020-12-23 18:01:22
TR,West Tripura,104,2020-12-23 18:01:22
WB,Bankura,104,2020-12-23 18:01:22
WB,Birbhum,104,2020-12-23 18:01:22
WB,Dakshin Dinajpur,104,2020-12-23 18:01:22
WB,Darjeeling,104,2020-12-23 18:01:22
WB,Haora,104,2020-12-23 18:01:22
WB,Hugli,104,2020-12-23 18:01:22
WB,Jalpaiguri,104,2020-12-23 18:01:22
WB,Koch Bihar,104,2020-12-23 18:01:22
WB,Kolkata,104,2020-12-23 18:01:22
WB,Maldah,104,2020-12-23 18:01:22
WB,Murshidabad,104,2020-12-23 18:01:22
WB,Nadia,104,2020-12-23 18:01:22
WB,North Twenty Four Parganas,104,2020-12-23 18:01:22
WB,Paschim Barddhaman,104,2020-12-23 18:01:22
WB,Paschim Medinipur,104,2020-12-23 18:01:22
WB,Purba Barddhaman,104,2020-12-23 18:01:22
WB,Purba Medinipur,104,2020-12-23 18:01:22
WB,Puruliya,104,2020-12-23 18:01:22
WB,South Twenty Four Parganas,104,2020-12-23 18:01:22
WB,Uttar Dinajpur,104,2020-12-23 18:01:22
